Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.18.0.10-151.101.146.109-55434-443-6,172.18.0.10,55434,151.101.146.109,443,6,08/09/2023 10:34:12 AM,28209,7,7,610.0,5021.0,517.0,0.0,87.14285714285715,192.69183391400597,4700.0,0.0,717.2857142857142,1759.4302784600204,199617.14346485163,496.2955085256478,2169.9230769230767,3328.699206936008,11088.0,13.0,28209.0,4701.5,4649.630555216188,12922.0,1340.0,26819.0,4469.833333333334,5096.6062989666625,12372.0,40.0,0,0,0,0,220,232,248.1477542628239,248.1477542628239,0.0,4700.0,375.4,1205.259948250643,1452651.5428571426,1,2,1,5,12,0,0,0,1.0,402.2142857142857,87.14285714285714,717.2857142857143,0,0,0,5631,5,226081,0,0,0,0,64240,285,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
151.101.146.109-172.18.0.10-443-55434-6,151.101.146.109,443,172.18.0.10,55434,6,08/09/2023 10:34:12 AM,23,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86956.52173913043,23.0,0.0,23.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,43478.260869565216,43478.260869565216,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,285,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-151.101.146.109-55446-443-6,172.18.0.10,55446,151.101.146.109,443,6,08/09/2023 10:34:12 AM,28290,7,7,610.0,5021.0,517.0,0.0,87.14285714285715,192.69183391400597,4700.0,0.0,717.2857142857142,1759.4302784600204,199045.5991516437,494.87451396253095,2176.153846153846,3345.0242113262757,10900.0,7.0,28290.0,4715.0,4472.6730709945705,12268.0,1105.0,27197.0,4532.833333333333,4929.252089989583,12221.0,270.0,0,0,0,0,220,232,247.43725698126548,247.43725698126548,0.0,4700.0,375.4,1205.259948250643,1452651.5428571426,1,2,1,5,12,0,0,0,1.0,402.2142857142857,87.14285714285714,717.2857142857143,0,0,0,5631,5,219053,0,0,0,0,64240,285,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
151.101.146.109-172.18.0.10-443-55446-6,151.101.146.109,443,172.18.0.10,55446,6,08/09/2023 10:34:12 AM,16,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,16.0,0.0,16.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,62500.0,62500.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,285,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-151.101.146.109-55454-443-6,172.18.0.10,55454,151.101.146.109,443,6,08/09/2023 10:34:12 AM,26613,8,8,610.0,5311.0,517.0,0.0,76.25000000000001,181.03886717655806,4700.0,0.0,663.875,1635.9060781195758,222485.25156878217,601.2099349941758,1774.1999999999998,2658.51344605536,8396.0,8.0,26613.0,3801.8571428571436,3423.6159942654895,9700.0,1133.0,25486.0,3640.8571428571436,3636.862678581245,8555.0,52.0,0,0,0,0,264,264,300.6049674970879,300.6049674970879,0.0,4700.0,348.2941176470588,1131.1733269434155,1279553.0955882352,1,2,1,6,14,0,0,0,1.0,370.0625,76.25,663.875,0,0,0,5921,6,245949,0,0,0,0,64240,285,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
151.101.146.109-172.18.0.10-443-55454-6,151.101.146.109,443,172.18.0.10,55454,6,08/09/2023 10:34:12 AM,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399999.99999999994,5.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,199999.99999999997,199999.99999999997,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,285,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-151.101.146.109-55464-443-6,172.18.0.10,55464,151.101.146.109,443,6,08/09/2023 10:34:12 AM,25015,7,7,610.0,5021.0,517.0,0.0,87.14285714285715,192.69183391400597,4700.0,0.0,717.2857142857142,1759.4302784600204,225104.93703777733,559.6642014791125,1924.2307692307693,2964.2331541745652,10450.0,16.0,25015.0,4169.166666666667,4094.2530657821662,11875.0,1199.0,23814.0,3969.0,4582.207022822082,11791.0,28.0,0,0,0,0,220,232,279.83210073955627,279.83210073955627,0.0,4700.0,375.4,1205.259948250643,1452651.5428571426,1,2,1,5,12,0,0,0,1.0,402.2142857142857,87.14285714285714,717.2857142857143,0,0,0,5631,5,308801,0,0,0,0,64240,285,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
151.101.146.109-172.18.0.10-443-55464-6,151.101.146.109,443,172.18.0.10,55464,6,08/09/2023 10:34:12 AM,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285714.28571428574,7.0,0.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,142857.14285714287,142857.14285714287,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,285,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-151.101.146.109-55416-443-6,172.18.0.10,55416,151.101.146.109,443,6,08/09/2023 10:34:12 AM,31177,7,7,610.0,5021.0,517.0,0.0,87.14285714285715,192.69183391400597,4700.0,0.0,717.2857142857142,1759.4302784600204,180613.91410334542,449.0489784135741,2398.230769230769,3452.403490175266,11755.0,1.0,31177.0,5196.166666666667,4776.508156244126,13285.0,1319.0,29755.0,4959.166666666667,4566.265538343851,11755.0,1.0,0,0,0,0,220,232,224.52448920678705,224.52448920678705,0.0,4700.0,375.4,1205.259948250643,1452651.5428571426,1,2,1,5,12,0,0,0,1.0,402.2142857142857,87.14285714285714,717.2857142857143,0,0,0,5631,5,198121,0,0,0,0,64240,285,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
151.101.146.109-172.18.0.10-443-55416-6,151.101.146.109,443,172.18.0.10,55416,6,08/09/2023 10:34:12 AM,43,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,23255.81395348837,23255.81395348837,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,285,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
