Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.18.0.10-142.250.190.150-40062-443-6,172.18.0.10,40062,142.250.190.150,443,6,08/09/2023 10:23:59 AM,77864,7,5,591.0,5861.0,517.0,0.0,84.42857142857143,192.72939331513254,2800.0,0.0,1172.2,1257.8311492406283,82862.4267954382,154.1148669474982,7078.545454545454,7423.997405220942,16716.0,13.0,77864.0,12977.333333333332,9019.60559374226,25909.0,39.0,61545.0,15386.25,13070.628915626057,29066.0,41.0,0,0,0,0,220,168,89.90033905270728,64.21452789479092,0.0,2800.0,496.30769230769226,925.085976600318,855784.0641025641,0,2,1,5,10,0,0,0,0.0,537.6666666666666,84.42857142857143,1172.2,0,0,0,6452,5,132194,0,0,0,0,64240,261,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-142.250.191.246-41358-443-6,172.18.0.10,41358,142.250.191.246,443,6,08/09/2023 10:23:59 AM,102287,7,6,591.0,5861.0,517.0,0.0,84.42857142857143,192.72939331513254,2800.0,0.0,976.8333333333334,1222.5874883486524,63077.419417912344,127.0933745246219,8523.916666666666,8320.580021940486,20590.0,-15.0,85875.0,14312.5,10456.449048314633,26673.0,7.0,85895.0,17179.0,13789.101330398584,37385.0,2.0,0,0,0,0,232,200,68.43489397479641,58.65848054982549,0.0,2800.0,460.85714285714283,898.6372466679206,807548.9010989012,2,2,0,5,12,0,0,0,0.0,496.3076923076923,84.42857142857143,976.8333333333334,0,0,0,6452,5,100744,0,0,0,0,64240,261,2,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-142.250.190.142-39258-443-6,172.18.0.10,39258,142.250.190.142,443,6,08/09/2023 10:24:14 AM,67573,7,5,591.0,5476.0,517.0,0.0,84.42857142857143,192.72939331513254,2800.0,0.0,1095.2,1191.585162713937,89784.38133574062,177.58572210794253,6142.999999999999,7257.9846927366825,16409.0,14.0,67573.0,11262.166666666666,9804.866045319877,25351.0,44.0,51375.0,12843.75,10566.57962240699,24443.0,51.0,0,0,0,0,220,168,103.59167122963315,73.9940508783094,0.0,2800.0,466.69230769230774,871.691782743513,759846.564102564,0,2,1,5,10,0,0,0,0.0,505.5833333333333,84.42857142857143,1095.2,0,0,0,6067,5,121768,0,0,0,0,64240,261,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-142.250.190.142-39248-443-6,172.18.0.10,39248,142.250.190.142,443,6,08/09/2023 10:24:14 AM,81246,7,5,591.0,5475.0,517.0,0.0,84.42857142857143,192.72939331513254,2800.0,0.0,1095.0,1191.4591893976058,74662.13721290894,147.6995790561997,7386.0,8691.833442950918,19763.0,13.0,81246.0,13541.0,10978.922697605625,27505.0,57.0,64705.0,16176.25,15509.623149838295,36551.0,65.0,0,0,0,0,220,168,86.15808778278316,61.54149127341654,0.0,2800.0,466.61538461538464,871.574297699431,759641.7564102564,0,2,1,5,10,0,0,0,0.0,505.5,84.42857142857143,1095.0,0,0,0,6066,5,94636,0,0,0,0,64240,261,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-172.18.0.6-40562-26512-6,172.18.0.10,40562,172.18.0.6,26512,6,08/09/2023 10:24:18 AM,15813,6,5,226.0,128.0,226.0,0.0,37.66666666666667,92.26411364483305,124.0,0.0,25.6,55.03453461236863,22386.643900588122,695.6301777018908,1581.3000000000002,3483.2925053428653,10987.0,5.0,15432.0,3086.4,4656.036383019359,10987.0,77.0,15742.0,3935.5,5189.65384202068,11373.0,81.0,0,0,0,0,200,168,379.4346423828495,316.19553531904126,0.0,226.0,29.500000000000004,71.36653149888832,5093.181818181819,2,2,0,3,10,0,0,0,0.0,32.18181818181818,37.666666666666664,25.6,0,0,0,0,0,0,0,0,0,0,64240,508,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-173.194.184.234-58962-443-6,172.18.0.10,58962,173.194.184.234,443,6,08/09/2023 10:23:59 AM,31460339,8,7,1391.0,5881.0,810.0,0.0,173.87499999999997,312.9639127987214,5199.0,0.0,840.1428571428571,1938.8074022081573,231.148176756773,0.4767907936402084,2247167.071428572,8374230.022041875,3.1342537E7,27.0,3.1450373E7,4492910.428571429,1.1839583701838462E7,3.1342537E7,281.0,3.1450403E7,5241733.833333333,1.281145566146051E7,3.1393E7,133.0,0,0,0,0,264,232,0.2542884232747778,0.22250237036543058,0.0,5199.0,454.5000000000001,1294.014064838555,1674472.4000000001,2,2,0,5,14,0,0,0,0.0,484.8,173.875,840.1428571428571,0,0,0,7272,5,127368,8,1391,7,5881,64240,267,3,32,107836.0,0.0,107836.0,107836.0,3.1342537E7,0.0,3.1342537E7,3.1342537E7,NeedManualLabel
172.18.0.10-173.194.184.234-58972-443-6,172.18.0.10,58972,173.194.184.234,443,6,08/09/2023 10:23:59 AM,31460111,8,7,1397.0,5881.0,816.0,0.0,174.625,314.7084535157671,5199.0,0.0,840.1428571428571,1938.8074022081573,231.34056965024692,0.47679424907305634,2247150.7857142854,8374249.326935052,3.1342588E7,14.0,3.1450185E7,4492883.571428571,1.1839617956844382E7,3.1342588E7,402.0,3.14503E7,5241716.666666667,1.2811432185994847E7,3.1392935E7,199.0,0,0,0,0,264,232,0.2542902661722967,0.22250398290075962,0.0,5199.0,454.87499999999994,1294.1248201004414,1674759.0499999998,2,2,0,5,14,0,0,0,0.0,485.2,174.625,840.1428571428571,0,0,0,7278,5,127798,8,1397,7,5881,64240,267,3,32,107597.0,0.0,107597.0,107597.0,3.1342588E7,0.0,3.1342588E7,3.1342588E7,NeedManualLabel
172.18.0.10-172.217.2.33-49082-443-6,172.18.0.10,49082,172.217.2.33,443,6,08/09/2023 10:24:03 AM,26862028,22,29,1635.0,37573.0,663.0,0.0,74.31818181818183,172.51318413761513,2800.0,0.0,1295.6206896551726,1220.316423069768,1459.6068472566556,1.8985908286596977,537240.5599999999,2748615.082187192,1.710856E7,7.0,2.6846244E7,1278392.5714285714,4190136.5574575798,1.7124386E7,25.0,2.6846089E7,958788.892857143,3650081.854347068,1.7124344E7,20.0,0,0,0,0,712,936,0.8189999653041833,1.0795908633555145,0.0,2800.0,753.9999999999999,1098.6697125409903,1207075.1372549022,2,2,0,30,50,0,0,0,1.0,768.7843137254902,74.31818181818181,1295.6206896551723,0,0,0,19604,15,436391,11,817,14,18786,64240,271,9,32,75203.5,49499.596003401886,110205.0,40202.0,1.33479185E7,5318350.2125231,1.710856E7,9587277.0,NeedManualLabel
172.18.0.10-142.250.190.78-39934-443-6,172.18.0.10,39934,142.250.190.78,443,6,08/09/2023 10:24:10 AM,20251782,15,14,1375.0,9160.0,581.0,0.0,91.66666666666667,188.52724951455642,2800.0,0.0,654.2857142857143,1028.5138964373964,520.2011358802895,1.4319727518299379,723277.9285714285,3802725.040633877,2.0126732E7,-17.0,2.0235516E7,1445394.0,5381617.40113509,2.0143235E7,6.0,2.0234923E7,1556532.5384615385,5584543.461926777,2.0142998E7,2.0,0,0,0,0,488,456,0.7406755612913472,0.6912971905385906,0.0,2800.0,351.16666666666674,758.1575708906761,574802.9022988505,2,2,0,15,28,0,0,0,0.0,363.2758620689655,91.66666666666667,654.2857142857143,0,0,0,10535,15,140115,15,1375,14,9160,64240,265,7,32,108784.0,0.0,108784.0,108784.0,2.0126732E7,0.0,2.0126732E7,2.0126732E7,NeedManualLabel
172.18.0.10-172.217.1.100-40250-443-6,172.18.0.10,40250,172.217.1.100,443,6,08/09/2023 10:24:04 AM,26126345,20,26,1724.0,21369.0,813.0,0.0,86.2,206.6654046367805,2800.0,0.0,821.8846153846154,1103.6290437252212,883.897077834653,1.760674904966615,580585.4444444445,3308877.395792626,2.1932218E7,-16.0,2.6110446E7,1374234.0,5066741.006493194,2.1953604E7,7.0,2.6110336E7,1044413.44,4427494.364566186,2.1948117E7,1.0,0,0,0,0,648,840,0.7655108282463544,0.9951640767202607,0.0,2800.0,491.34042553191483,904.4138692039784,817964.4468085108,2,2,0,24,45,0,0,0,1.0,502.0217391304348,86.2,821.8846153846154,0,0,0,11546,12,166109,10,862,13,10684,64240,267,8,32,4178228.0,0.0,4178228.0,4178228.0,2.1932218E7,0.0,2.1932218E7,2.1932218E7,NeedManualLabel
